"Overview of the price points broken down by technology in December 2020, including changes over the previous month (as of Dec. 14, 2020):"
"Overview of the price points broken down by technology in December 2020, including changes over the previous month (as of Dec. 14, 2020):"
Module class,€/Wp,Trend since Nov. 2020,Trend since Jan. 2020,Description
Crystalline modules
Bifacial,0.33,+3.1%,-15.4%,"Modules with bifacial cells, transparent backsheets or glass-glass, framed and unframed"
High efficiency,0.31,0.0%,-3.1%,"Crystalline panels at 330 Wp and above, with PERC, HJT, n-type or back-contact cells, or combinations thereof"
All black,0.32,+3.2%,-3.0%,"Module types with black backsheets, black frames, and rated power between 290 and 390 Wp"
Mainstream,0.22,0.0%,-12.0%,"Modules typically featuring 60 cells, standard aluminum frames, white backsheets, and 275 to 325 Wp."
Low cost,0.16,+6.7%,-5.9%,"Factory seconds, insolvency goods, used or low-output modules, and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of the price points broken down by technology in November 2020, including changes over the previous month (as of Nov. 17):"
Module class,€/Wp,Trend since Oct. 2020,Trend since Jan. 2020,Description
Crystalline modules
Bifacial,0.32,+3.2%,-17.9%,"Modules with bifacial cells, transparent backsheets or glass-glass, framed and unframed"
High efficiency,0.31,+3.3%,-3.1%,"Crystalline panels at 330 Wp and above, with PERC, HJT, n-type or back-contact cells, or combinations thereof"
All black,0.31,+3.3%,-6.1%,"Module types with black backsheets, black frames, and rated power between 290 and 390 Wp"
Mainstream,0.22,+4.8%,-12.0%,"Modules typically featuring 60 cells, standard aluminum frames, white backsheets, and 275 to 325 Wp."
Low cost,0.15,0.0%,-11.8%,"Factory seconds, insolvency goods, used or low-output modules, and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of the price points broken down by technology in October 2020, including changes over the previous month (as of Oct. 12, 2020):"
Module class,€/Wp,Trend since Sept. 2020,Trend since Jan. 2020,Description
Crystalline modules
Bifacial,0.31,0.0%,-20.5%,"Modules with bifacial cells, transparent backsheets or glass-glass, framed and unframed"
High efficiency,0.30,0.0%,-6.3%,"Crystalline panels at 320 Wp and above, with PERC, HJT, n-type or back-contact cells, or combinations thereof"
All black,0.30,-3.2%,-9.1%,"Module types with black backsheets, black frames, and rated power between 290 and 390 Wp"
Mainstream,0.21,0.0%,-16.0%,"Modules typically featuring 60 cells, standard aluminum frames, white backsheets, and 275 to 315 Wp."
Low cost,0.15,-6.3%,-11.8%,"Factory seconds, insolvency goods, used or low-output modules, and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of the price points broken down by technology in June 2020, including changes over the previous month (as of Sept. 21, 2020):"
Module class,€/Wp,Trend since Aug. 2020,Trend since Jan. 2020,Description
Crystalline modules
Bifacial,0.31,-3.1%,-20.5%,"Modules with bifacial cells, transparent backsheets or glass-glass, framed and unframed"
High efficiency,0.30,0.0%,-6.3%,"Crystalline panels at 295 Wp and above, with PERC, HJT, n-type or back-contact cells, or combinations thereof"
All black,0.31,-3.1%,-6.1%,"Module types with black backsheets, black frames, and rated power between 200 and 320 Wp"
Mainstream,0.21,0.0%,-16.0%,"Modules typically featuring 60 cells, standard aluminum frames, white backsheets, and 270 to 290 Wp – this represents most modules on the market"
Low cost,0.16,+6.7%,-5.9%,"Factory seconds, insolvency goods, used or low-output modules, and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of price points broken down by technology in June 2020, including changes from the preceding month (as of Aug. 10, 2020):"
Module class,€/Wp,Trend since July 2020,Trend since Jan. 2020,Description
Crystalline modules
Bifacial,0.32,-3.0%,-17.9%,"Modules with bifacial cells, transparent backsheets or glass-glass, framed and unframed"
High efficiency,0.30,-3.2%,-6.3%,"Crystalline panels at 295 Wp and above, with PERC, HJT, n-type or back-contact cells, or combinations thereof"
All black,0.32,-3.0%,-3.0%,"Module types with black backsheets, black frames, and rated power between 200 and 320 Wp"
Mainstream,0.21,-4.5%,-16.0%,"Modules typically featuring 60 cells, standard aluminum frames, white backsheets, and 270 to 290 Wp – this represents most modules on the market"
Low cost,0.15,0.0%,-11.8%,"Factory seconds, insolvency goods, used or low-output modules, and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of the price points broken down by technology in June 2020, including changes over the previous month (as of July 14, 2020):"
Module class,€/Wp,Trend since June 2020,Trend since Jan. 2020,Description
Crystalline modules
Bifacial,0.33,-2.9%,-15.4%,"Modules with bifacial cells, transparent backsheets or glass-glass, framed and unframed"
High efficiency,0.31,-3.1%,-3.1%,"Crystalline panels at 295 Wp and above, with PERC, HJT, n-type or back-contact cells, or combinations thereof"
All black,0.33,0.0%,0.0%,"Module types with black backsheets, black frames, and rated power between 200 and 320 Wp"
Mainstream,0.22,-8.3%,-12.0%,"Modules typically featuring 60 cells, standard aluminum frames, white backsheets, and 270 to 290 Wp – this represents most modules on the market"
Low cost,0.15,-6.3%,-11.8%,"Factory seconds, insolvency goods, used or low-output modules, and products with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of price points broken down by technology for May 2020, including changes from the preceding month (as of May 22, 2020):"
Module class,€/Wp,Trend since April 2020,Trend since Jan. 2020,Description
Crystalline modules
Bifacial,0.36,-5.3%,-7.7%,"Modules with bifacial cells, transparent backsheets or glass-glass, framed and unframed"
High efficiency,0.33,-2.9%,+3.1%,"Crystalline panels at 295 Wp and above, with PERC, HJT, n-type or back-contact cells, or combinations thereof"
All black,0.35,0.0%,+6.1%,"Module types with black backsheets, black frames, and rated power between 200 and 320 Wp"
Mainstream,0.25,-3.8%,0.0%,"Modules typically featuring 60 cells, standard aluminum frames, white backsheets, and 270 to 290 Wp — this represents most modules on the market"
Low cost,0.17,0.0%,0.0%,"Factory seconds, insolvency goods, used or low-output modules, and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of price points broken down by technology in April 2020, with changes over the previous month (as of April 27, 2020):"
Module class,€/Wp,Trend since March 2020,Trend since Jan. 2020,Description
Crystalline modules
Bifacial,0.38,-2.6%,-2.6%,"Modules with bifacial cells, transparent backsheet or glass-glass, framed and unframed"
High efficiency,0.34,0.0%,+6.3%,"Crystalline panels at 295 Wp and above, with PERC, HJT, n-type or back-contact cells, or combinations thereof"
All black,0.35,0.0%,+6.1%,"Module types with black backsheets, black frames, and rated power between 200 and 320 Wp"
Mainstream,0.26,0.0%,+4.0%,"Modules typically featuring 60 cells, standard aluminum frames, white backsheets, and 270 to 290 Wp — this represents most modules on the market"
Low cost,0.17,-5.6%,0.0%,"Factory seconds, insolvency goods, used or low-output modules, and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of price points broken down by technology for March 2020, with changes from the previous month (as of March 16):"
Module class,€/Wp,Trend since February 2020,Trend since January 2020,Description
Crystalline modules
Bifacial,0.39,0.0%,0.0%,"Solar modules with bifacial cells, transparent backsheets, or double glass modules, framed or unframed"
High efficiency,0.34,+3.0%,+6.3%,"Crystalline panels at 300 Wp and above, with PERC, HJT, n-type or back contact cells, or combinations thereof"
All black,0.35,+2.9%,+6.1%,"Module types with black backsheets, black frames, and rated power between 200 and 340 Wp"
Mainstream,0.26,0.0%,+4.0%,"Modules with 60 cells, standard aluminum frames, white backsheets and 275 to 295 Wp – this represents most modules on the market"
Low cost,0.18,0.0%,+5.9%,"Factory seconds, insolvency goods, used or low-output modules (crystalline), and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of price points broken down by technology, including changes from the preceding month (as of Feb. 17, 2020):"
Module class,€/Wp,Trend since January 2020,Trend since January 2019,Description
Crystalline modules
Bifacial,0.39,0.0%,-9.3%,"Solar modules with bifacial cells, transparent backsheets or double-glass modules, framed or unframed"
High efficiency,0.33,+3.1%,-5.7%,"Crystalline panels at 300 Wp and above, with PERC, HJT, n-type or back contact cells, or combinations thereof"
All black,0.34,+3.0%,-5.6%,"Module types with black backsheets, black frames and rated power between 200 and 340 Wp"
Mainstream,0.26,+4.0%,-3.7%,"Modules typically with 60 cells, standard aluminum frames, white backsheets and 275 to 295 Wp – this represents most modules on the market"
Low cost,0.18,+5.9%,0.0%,"Factory seconds, insolvency goods, used or low-output modules (crystalline) and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of the price points broken down by technology for January 2020, including changes over the previous month (as of Jan. 20, 2020):"
Module class,€/Wp,Trend since December 2019,Trend since January 2019,Description
Crystalline modules
Bifacial,0.39,-2.5%,-9.3%,"Solar modules with bifacial cells, transparent back sheets or double glas modules, framed or unframed"
High efficiency,0.32,-3.0%,-8.6%,"Crystalline panels at 300 Wp and above, with PERC, HJT, n-type or back contact cells, or combinations thereof"
All black,0.33,-2.9%,-8.3%,"Module types with black backsheets, black frames and rated power between 200 and 340 Wp"
Mainstream,0.25,+4.2%,-7.4%,"Modules typically with 60 cells, standard aluminum frames, white backsheets and 275 to 295 Wp — this represents most modules on the market"
Low cost,0.17,-10.5%,-5.6%,"Factory seconds, insolvency goods, used or low-output modules (crystalline) and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of the price points broken down by technology in December 2019, including the changes over the previous month:"
Module class,€/Wp,Trend since November 2019,Trend since January 2019,Description
Crystalline modules
Bifacial,0.40,+5.3%,-7.0%,"Solar modules with bifacial cells, transparent back sheets or double glas modules, framed or unframed"
High efficiency,0.33,+3.1%,-5.7%,"Crystalline panels at 290 Wp and above, with PERC, HJT, n-type or back contact cells, or combinations thereof"
All black,0.34,0.0%,-5.6%,"Module types with black backsheets, black frames and rated power between 200 and 320 Wp"
Mainstream,0.24,-4.0%,-11.1%,"Modules typically with 60 cells, standard aluminum frames, white backsheets and 260 to 290 Wp — this represents most modules on the market"
Low cost,0.19,0.0%,+5.6%,"Factory seconds, insolvency goods, used or low-output modules (crystalline) and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of the price points broken down by technology in November 2019, including the changes over the previous month (as of Nov. 18, 2019):"
Module class,€/Wp,Trend since October 2019,Trend since January 2019,Description
Crystalline modules
Bifacial,0.38,-2.6%,-11.6%,"Solar modules with bifacial cells, transparent back sheets or double glas modules, framed or unframed"
High efficiency,0.32,-3.0%,-8.6%,"Crystalline panels at 290 Wp and above, with PERC, HJT, n-type or back contact cells, or combinations thereof"
All black,0.34,-2.9%,-5.6%,"Module types with black backsheets, black frames and rated power between 200 and 320 Wp"
Mainstream,0.25,0.0%,-7.4%,"Modules typically with 60 cells, standard aluminum frames, white backsheets and 260 to 290 Wp — this represents most modules on the market"
Low cost,0.19,+5.6%,+5.6%,"Factory seconds, insolvency goods, used or low-output modules (crystalline) and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
"Overview of price points, broken down by technology in October 2019, including changes over the previous month (as of Oct. 21, 2019):"
Module class,€/Wp,Trend since Sept. 2019,Trend since January 2019,Description
Crystalline modules
Bifacial,0.39,+2.6%,-9.3%,"Modules with bifacial cells, transparent backsheet or glass-glass, framed and unframed."
High efficiency,0.33,+3.1%,-5.7%,"Crystalline panels at 295 Wp and above, with PERC, HJT, n-type or back contact cells, or combinations thereof"
All black,0.35,0.0%,-2.8%,"Module types with black backsheets, black frames and rated power between 200 and 320 Wp"
Mainstream,0.25,0.0%,-7.4%,"Modules typically with 60 cells, standard aluminum frames, white backsheets and 270 to 290 Wp — this represents most modules on the market"
Low cost,0.18,-5.3%,0.0%,"Factory seconds, insolvency goods, used or low-output modules and prod ucts with limited or no warranty"
"Notes: Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source: pvXchange.com"
Overview of the price points broken down by technology in August 2019 with changes over the previous month (as of 19 August 2019):
Module class,€/Wp,Trend since July 2019,Trend since January 2019,Description
Crystalline modules
High efficiency,0.33,-3.0%,-8.6%,"Crystalline panels at 290 Wp and above, with PERC, HJT, n-type or back contact cells, or combinations thereof"
All black,0.34,0.0%,-5.6%,"Module types with black backsheets, black frames and rated power between 200 and 320 Wp"
Mainstream,0.27,-3.7%,-3.7%,"Modules typically with 60 cells, standard aluminum frames, white backsheets and 260 to 290 Wp — this represents most modules on the market"
Low cost,0.20,-5.0%,+5.6%,"Factory seconds, insolvency goods, used or low-output modules (crystalline) and prod ucts with limited or no warranty"
"Notes : Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source : pvXchange.com"
Overview of the price points broken down by technology in July 2019 with changes over the previous month (as of 19 July 2019):
Module class,€/Wp,Trend since June 2019,Trend since January 2019,Description
Crystalline modules
High efficiency,0.33,-2.9%,-5.7%,"Crystalline panels at 290 Wp and above, with PERC, HJT, n-type or back contact cells, or combinations thereof"
All black,0.34,0.0%,-5.6%,"Module types with black backsheets, black frames and rated power between 200 and 320 Wp"
Mainstream,0.27,-3.8%,0.0%,"Modules typically with 60 cells, standard aluminum frames, white backsheets and 260 to 290 Wp — this represents most modules on the market"
Low cost,0.20,+5.3%,+11.1%,"Factory seconds, insolvency goods, used or low-output modules (crystalline) and prod ucts with limited or no warranty"
