ENFOQUE,OBJETIVO
Regulación,"Analizar los diferentes temas propuestos en las misiones desde una mirada normativa y legal con el fin de alimentar en las discusiones al regulador pertinente (SEC, MEN, MINSAL, etc)."
Técnico e I+D+i,Aporta en la discusión desde una mirada técnica para materializar nuevas iniciativas que ayuden a la creación de nuevas tecnologías.
Mercado y Financiamiento,"Seguir y apoyar el desarrollo del mercado global y nacional de H2r, con énfasis en las oportunidades de financiamiento."
Desarrollo ambiental y social,Aporta en la discusión y promueve la adopción de buenas prácticas en cuanto a impactos positivos y negativos en la sociedad y medioambiente.
Políticas Públicas,Discutir las visiones del gremio en ciertas temáticas relevantes para aportar en el diseño y creación tanto de nuevas políticas como de algunas que se encuentran en curso.
Capital Humano,Aporta en la discusión con una visión sobre el capital humano requerido.
Evaluación ambiental,"Analizar los diferentes temas propuestos en las misiones desde una mirada normativa y legal con el fin de alimentar en las discusiones al regulador pertinente (SEC, MEN, MINSAL, etc)."
Infraestructura compartida,Aporta en la discusión desde una mirada técnica para materializar nuevas iniciativas que ayuden a la creación de nuevas tecnologías.
Planificación territorial,"Seguir y apoyar el desarrollo del mercado global y nacional de H2r, con énfasis en las oportunidades de financiamiento."
Estimación y estimulación de la demanda,Aporta en la discusión y promueve la adopción de buenas prácticas en cuanto a impactos positivos y negativos en la sociedad y medioambiente.
Reducción de costos,Discutir las visiones del gremio en ciertas temáticas relevantes para aportar en el diseño y creación tanto de nuevas políticas como de algunas que se encuentran en curso.
Tramitación de permisos,"Analizar los diferentes temas propuestos en las misiones desde una mirada normativa y legal con el fin de alimentar en las discusiones al regulador pertinente (SEC, MEN, MINSAL, etc)."
Encadenamiento productivo,Aporta en la discusión desde una mirada técnica para materializar nuevas iniciativas que ayuden a la creación de nuevas tecnologías.
Infraestructura compartida,"Seguir y apoyar el desarrollo del mercado global y nacional de H2r, con énfasis en las oportunidades de financiamiento."
