policy_id,name,short_name,category,subcategory,type,jurisdiction,agency,state,effective_date,status,description,market_impact_summary,price_impact_direction,price_impact_magnitude,affected_regions,affected_markets,source_url,effective_year,notes
TX_RRC_RULES,Texas Railroad Commission Rules,TX Drilling Regs,OIL_GAS_PRODUCTION,State Production Rules,STATE_REGULATION,STATE,TX_RRC,TX,1919-01-01,ACTIVE,"TX RRC regulates drilling, production, pipelines. Permissive environment enables rapid development.","TX produces ~30% of US gas, ~40% of US oil. Fast permitting enables supply response.",DECREASE,HIGH,"TEXAS,PERMIAN,EAGLE_FORD","NATURAL_GAS,OIL",https://www.rrc.texas.gov/oil-and-gas/,1919.0,
NGA_SECTION_7,Natural Gas Act Section 7 - Pipeline Certificates,Pipeline Certificate,GAS_INFRASTRUCTURE,Pipeline Permitting,FEDERAL_LEGISLATION,FEDERAL,FERC,,1938-06-21,ACTIVE,Requires FERC certificate for interstate pipeline construction and operation.,Controls pace of pipeline development. Provides eminent domain upon approval.,MIXED,MODERATE,NATIONAL,NATURAL_GAS,https://www.ferc.gov/industries-data/natural-gas/overview/certificate-applications,1938.0,
NGA_SECTION_3,Natural Gas Act Section 3 - LNG Export Authority,LNG Export Authority,LNG_EXPORTS,Export Authorization,FEDERAL_LEGISLATION,FEDERAL,DOE,,1938-06-21,ACTIVE,Requires DOE authorization for LNG exports. FTA countries automatic. Non-FTA needs public interest finding.,Framework for US LNG exports. ~50 Bcf/d approved capacity.,MIXED,MODERATE,"GULF_COAST,NATIONAL","NATURAL_GAS,LNG",https://www.energy.gov/fecm/regulation-natural-gas-imports-and-exports,1938.0,
NEPA_1970,National Environmental Policy Act,NEPA,ENVIRONMENTAL_REVIEW,Infrastructure Permitting,FEDERAL_LEGISLATION,FEDERAL,CEQ,,1970-01-01,ACTIVE,Requires environmental impact statements for major federal actions including pipelines.,Creates multi-year permitting timeline. EIS can take 4-7 years for major pipelines.,INCREASE,MODERATE,NATIONAL,"NATURAL_GAS,OIL,ELECTRICITY",https://ceq.doe.gov/laws-regulations/laws.html,1970.0,
FERC_436,FERC Order 436 - Open Access Transportation,Open Access,GAS_MARKET_STRUCTURE,Pipeline Access,FEDERAL_REGULATION,FEDERAL,FERC,,1985-10-09,SUPERSEDED,First major step toward open-access gas transportation. Began unbundling of merchant and transportation functions.,Began transition from regulated wellhead prices to market-based pricing.,DECREASE,MODERATE,NATIONAL,NATURAL_GAS,https://www.ferc.gov/industries-data/natural-gas/history,1985.0,
CAAA_1990,Clean Air Act Amendments of 1990,Acid Rain Program,ENVIRONMENTAL_EMISSIONS,SO2_NOx Regulation,FEDERAL_LEGISLATION,FEDERAL,EPA,,1990-11-15,ACTIVE,Established SO2 cap-and-trade. First market-based emissions trading program.,Required scrubbers or fuel switching. Began shift to low-sulfur coal and gas.,INCREASE,MODERATE,NATIONAL,"ELECTRICITY,COAL",https://www.epa.gov/acidrain/acid-rain-program,1990.0,
FERC_636,FERC Order 636 - Pipeline Restructuring,Pipeline Restructuring,GAS_MARKET_STRUCTURE,Pipeline Restructuring,FEDERAL_REGULATION,FEDERAL,FERC,,1992-11-01,ACTIVE,Required interstate pipelines to unbundle sales from transportation. Created modern competitive gas market.,Completed transition to competitive wholesale gas markets. Henry Hub emerged as pricing point.,DECREASE,HIGH,NATIONAL,"NATURAL_GAS,ELECTRICITY",https://www.ferc.gov/industries-data/natural-gas/industry-forms/order-no-636,1992.0,
FERC_888,FERC Order 888 - Electric Open Access,Electric Open Access,ELECTRICITY_MARKET_STRUCTURE,Transmission Access,FEDERAL_REGULATION,FEDERAL,FERC,,1996-04-24,ACTIVE,Required public utilities to provide open-access transmission services. Foundation for ISOs.,Enabled wholesale electricity markets and competitive power generation.,MIXED,HIGH,NATIONAL,ELECTRICITY,https://www.ferc.gov/industries-data/electric/industry-activities/oatt-reform,1996.0,
FERC_CERT_POLICY_1999,FERC Certificate Policy Statement,Certificate Policy,GAS_INFRASTRUCTURE,Pipeline Permitting,FEDERAL_POLICY,FEDERAL,FERC,,1999-09-15,UNDER_REVIEW,Framework for evaluating pipeline certificate applications. Balances need vs impacts.,Enabled ~95% approval rate 2000-2020. Currently under review for climate impacts.,DECREASE,MODERATE,NATIONAL,NATURAL_GAS,https://www.ferc.gov/industries-data/natural-gas/overview/certificate-applications,1999.0,
FERC_2000,FERC Order 2000 - RTO Formation,RTO Formation,ELECTRICITY_MARKET_STRUCTURE,Grid Organization,FEDERAL_REGULATION,FEDERAL,FERC,,1999-12-20,ACTIVE,Encouraged formation of Regional Transmission Organizations to operate grids and markets.,"Created organized wholesale markets (PJM, MISO, SPP, CAISO, ERCOT, NYISO, ISO-NE).",DECREASE,MODERATE,NATIONAL,ELECTRICITY,https://www.ferc.gov/industries-data/electric/industry-activities/rtos-isos,1999.0,
