bottleneck_id,name,category,subcategory,jurisdiction,agency,legal_authority,timeline_statutory_days,timeline_typical_months,timeline_range_months,timeline_with_litigation_months,description,key_delay_factors,quantitative_impact,affected_project_types,recent_changes,reform_status,source_url
FERC_PIPELINE_CERT,FERC Pipeline Certificate Review,FEDERAL_PERMITTING,Pipeline Infrastructure,FEDERAL,FERC,Natural Gas Act Section 7,,18,12-48,60.0,Certificate of Public Convenience and Necessity for interstate natural gas pipelines.,NEPA EIS preparation; CWA Section 401 state certification; ESA Section 7 consultation; landowner opposition; GHG emissions analysis,No statutory time limit; ~95% approval rate historically; 20% of projects delayed 90+ days beyond FERC deadline,Interstate natural gas pipelines,DC Circuit vacated Transco REAE pipeline (July 2024) for inadequate GHG analysis; increased uncertainty,Certificate Policy Statement under review since 2022,https://www.ferc.gov/industries-data/natural-gas/overview/certificate-applications
LNG_FERC_APPROVAL,LNG Terminal FERC Authorization,FEDERAL_PERMITTING,LNG Infrastructure,FEDERAL,FERC,Natural Gas Act Section 3,,36,24-60,84.0,"FERC authorization for siting, construction, and operation of onshore LNG export terminals.",Full EIS required; environmental justice review; GHG emissions analysis; state and local permits; community opposition,Average 158 days from EIS to approval (2015-2022); 20 FERC approvals totaling 27.2 Bcf/d capacity,"LNG export terminals, LNG import terminals",Trump administration 2025 expedited procedures; FERC considering blanket authorization for routine modifications,November 2025 NOI on streamlining LNG approvals,https://www.ferc.gov/natural-gas/lng
DOE_LNG_EXPORT,DOE LNG Export Authorization,FEDERAL_PERMITTING,LNG Exports,FEDERAL,DOE,Natural Gas Act Section 3,,12,3-36,48.0,DOE authorization for LNG exports. FTA countries automatic. Non-FTA requires public interest determination.,Biden LNG pause (Jan 2024); economic/environmental review methodology under revision; litigation,~50 Bcf/d approved capacity; 14.28 Bcf/d operating; ~10 Bcf/d affected by pause,LNG export terminals,Biden LNG pause on non-FTA authorizations (Jan 2024); 7-year export commencement deadline policy (2023),Pause in effect; Trump administration expected to lift pause,https://www.energy.gov/fecm/regulation-natural-gas-imports-and-exports
PJM_INTERCONNECTION,PJM Generator Interconnection Queue,GRID_INTERCONNECTION,RTO/ISO Queue,REGIONAL,PJM,FERC Order 2023,,72,48-96,,PJM interconnection study process for new generation. Currently taking 6-8 years for projects entering 2018-2020.,Queue backlog from 2018-2020 projects; network upgrade costs ($240/kW average); restudy triggers; speculative projects,~140 GW processed 2023-2024; 46 GW with signed agreements; 63 GW remaining; capacity prices jumped 10x due to queue delays,"Solar, wind, battery storage, natural gas generation",PJM Transition Cycle 1 completed Sept 2024; 1-2 year study turnaround expected for new projects post-2026,"FERC Order 2023 implemented; first-ready, first-served model",https://www.pjm.com/
MISO_INTERCONNECTION,MISO Generator Interconnection Queue,GRID_INTERCONNECTION,RTO/ISO Queue,REGIONAL,MISO,FERC Order 2023,,60,36-72,,MISO Definitive Planning Phase interconnection study process. Projects from 2018-2019 still in queue.,242 GW in queue; 2023 queue window closed; 650-day average delays; 25 GW approved resources experiencing delays,283 projects from 2022 cycle in Central region still awaiting study; 369 projects in South region,"Solar, wind, battery storage",2024 queue window delayed; 2023 projects expected to reach GIA execution by 2026,Queue reforms implemented; backlog clearing expected by 2026,https://www.misoenergy.org/
CAISO_INTERCONNECTION,CAISO Generator Interconnection Queue,GRID_INTERCONNECTION,RTO/ISO Queue,REGIONAL,CAISO,FERC Order 2023,,48,24-60,,CAISO cluster study process for generator interconnection.,High queue volume; limited transmission capacity; restudy requirements,Only ~19% of projects nationally complete interconnection process (2000-2018),"Solar, wind, battery storage",Not accepting new applications in 2024 to clear backlog,FERC Order 2023 implementation underway,https://www.caiso.com/
CWA_401_CERT,Clean Water Act Section 401 Certification,FEDERAL_PERMITTING,Water Quality,STATE,STATE_DEQ,Clean Water Act Section 401,365.0,12,6-36,60.0,State certification that federally permitted activities will comply with water quality standards. States can deny certification to block projects.,Scope of review (activity as a whole vs point discharge); state opposition to fossil fuel projects; pre-filing requirements,"NY denied Constitution Pipeline (2016), Millennium Valley Lateral; WA denied coal export terminal (2017); OR denied Jordan Cove LNG","Pipelines, LNG terminals, power plants, hydropower, dredge/fill activities",Trump 2020 rule limiting scope reinstated by SCOTUS (Apr 2022); Biden 2023 rule expanded scope; Trump 2026 proposed rule to limit scope again,EPA proposed rule January 2026 to narrow scope and streamline timelines,https://www.epa.gov/cwa-401
CWA_404_PERMIT,Clean Water Act Section 404 Wetlands Permit,FEDERAL_PERMITTING,Wetlands,FEDERAL,ARMY_CORPS,Clean Water Act Section 404,,9,1.5-18,36.0,Army Corps permit for discharge of dredged or fill material into waters of the US including wetlands.,Alternatives analysis (LEDPA); mitigation requirements; Section 401 certification needed; NEPA compliance; ESA consultation,Individual permits: 264 days average (FY2018); Nationwide Permits: 45 days average; Emergency permits: expedited,"Pipelines, transmission lines, infrastructure, mining, development",Sackett v EPA (2023) narrowed WOTUS jurisdiction; Trump emergency procedures using national energy emergency declaration,Nationwide Permit 12 for oil/gas pipelines requires individual 404 permits,https://www.epa.gov/cwa-404
NEPA_EIS,NEPA Environmental Impact Statement,FEDERAL_PERMITTING,Environmental Review,FEDERAL,MULTIPLE,National Environmental Policy Act,730.0,36,24-84,120.0,Full environmental review required for major federal actions significantly affecting environment.,Multi-agency coordination; public comment periods; alternatives analysis; litigation; staff capacity,Average EIS takes 4.5 years; 25% take 6+ years; energy projects average 4.5 years; transmission 6.5 years,"Major pipelines, LNG terminals, transmission lines, power plants on federal land",Fiscal Responsibility Act 2023 imposed 2-year deadline; CEQ 2024 reforms; Trump emergency procedures (14 days for EA),Ongoing reform efforts; categorical exclusions expanded for certain clean energy projects,https://ceq.doe.gov/
ESA_SECTION_7,Endangered Species Act Section 7 Consultation,FEDERAL_PERMITTING,Species Protection,FEDERAL,FWS_NMFS,Endangered Species Act Section 7,135.0,6,3-18,36.0,Consultation with FWS/NMFS to ensure federal actions do not jeopardize listed species or critical habitat.,Biological assessment preparation; formal consultation 90-day clock; extensions; BiOp litigation; multiple species,"35,000+ project review requests since Nov 2022; workload rising with IRA/IIJA projects",All federally permitted energy projects in areas with listed species,Trump emergency procedures allow expedited informal consultation under national energy emergency,2024 rule changes; IPaC tool reduces staff time for 10% of projects,https://www.fws.gov/service/section-7-consultations
