year,global_lng_trade_bcm,asia_share_pct,europe_share_pct,us_lng_exports_bcfd,jkm_asia_usd,ttf_europe_usd,notes
2015,330,72,13,0.1,7.5,6.5,"Pre-US LNG export era, Asia premium market"
2016,340,70,14,0.5,5.5,4.5,"Sabine Pass begins exports, Iran returns post-JCPOA"
2017,365,71,13,1.9,7.0,5.8,Cold Asian winter drove spot premiums
2018,395,72,14,3.0,9.5,7.5,"China demand surge, US-China trade tensions"
2019,420,70,17,5.0,5.5,4.5,"LNG oversupply, prices crashed, $6/MMBtu pricing"
2020,430,69,18,6.5,4.0,3.5,"COVID demand destruction, historic lows, cargo cancellations"
2021,460,68,19,9.7,18.0,15.0,"Post-COVID recovery, Asia-Europe competition intensifies"
2022,475,58,30,11.0,35.0,40.0,"Russia-Ukraine war, Europe scrambles for LNG, TTF €330 peak"
2023,480,60,28,11.8,14.0,12.0,"Mild winter both regions, demand destruction, prices normalize"
2024,495,62,26,12.0,11.0,10.0,"Henry Hub record lows $2.21, oversupply building, Plaquemines LNG starts"
2025,515,58,30,14.9,13.0,13.5,"Europe premium market, China demand weak, US LNG +25%, Ukraine transit ends"
2026,545,60,28,16.5,8.0,7.5,"Forecast: LNG glut, +10% supply, prices toward $6-8/MMBtu"
