policy_id,name,short_name,category,subcategory,jurisdiction,agency,effective_date,announcement_date,implementation_period_months,status,superseded_by,description,market_impact,price_impact_direction,price_impact_magnitude,price_impact_lag_months,affected_regions,affected_markets,affected_sectors,quantitative_impact,source,source_url,state,region,effective_year,announcement_year
NEPA_1970,National Environmental Policy Act,NEPA,ENVIRONMENTAL_REVIEW,Infrastructure Permitting,FEDERAL,CEQ,1970-01-01,1969-12-31,6.0,ACTIVE,,Requires environmental impact statements for major federal actions. Forms basis for pipeline permitting environmental review.,Creates multi-year permitting timeline for major pipelines. Extended review process can delay infrastructure by 3-10 years.,INCREASE,MODERATE,36.0,NATIONAL,"NATURAL_GAS,OIL","GAS_PIPELINES,OIL_PIPELINES",Average pipeline EIS takes 4-6 years to complete,CEQ,https://ceq.doe.gov/laws-regulations/laws.html,,,1970.0,1969
FERC_436,FERC Order 436,Open Access Transportation,GAS_MARKET_STRUCTURE,Pipeline Access,FEDERAL,FERC,1985-10-01,1985-10-09,24.0,SUPERSEDED,FERC_636,"First major step toward open-access gas transportation. Allowed pipelines to offer transportation services on a non-discriminatory basis, beginning unbundling of merchant and transportation functions.",Began transition from regulated wellhead prices to market-based pricing. Created framework for third-party access to pipelines.,DECREASE,MODERATE,24.0,NATIONAL,NATURAL_GAS,"GAS_PIPELINES,GAS_PRODUCERS,UTILITIES",,FERC,https://www.ferc.gov/industries-data/natural-gas/history-natural-gas-regulation,,,1985.0,1985
CAAA_1990,Clean Air Act Amendments of 1990,Acid Rain Program,ENVIRONMENTAL_EMISSIONS,Coal Plant Regulations,FEDERAL,EPA,1990-11-15,1990-11-15,60.0,ACTIVE,,Established SO2 cap-and-trade program for power plants. First major market-based emissions trading program.,Required scrubbers or fuel switching for high-sulfur coal plants. Began shift toward low-sulfur western coal and natural gas.,INCREASE,MODERATE,60.0,NATIONAL,"ELECTRICITY,COAL","POWER_GENERATORS,COAL_PRODUCERS",SO2 emissions from power sector fell 90% since 1990,EPA,https://www.epa.gov/acidrain/acid-rain-program,,,1990.0,1990
FERC_636,FERC Order 636,Gas Pipeline Restructuring,GAS_MARKET_STRUCTURE,Pipeline Restructuring,FEDERAL,FERC,1992-11-01,1992-04-08,36.0,ACTIVE,,Landmark restructuring order that required interstate pipelines to unbundle their sales services from transportation services. Created the modern competitive natural gas market structure.,"Completed transition to competitive wholesale gas markets. Enabled gas marketing companies, spot markets, and financial derivatives. Henry Hub emerged as primary pricing point.",DECREASE,HIGH,36.0,NATIONAL,"NATURAL_GAS,ELECTRICITY","GAS_PIPELINES,GAS_PRODUCERS,UTILITIES,GAS_MARKETERS",Wellhead prices declined ~30% in real terms 1992-1998,FERC,https://www.ferc.gov/industries-data/natural-gas/industry-forms/order-no-636-702-final-rule,,,1992.0,1992
FERC_888,FERC Order 888,Electric Open Access,ELECTRICITY_MARKET_STRUCTURE,Transmission Access,FEDERAL,FERC,1996-04-24,1996-04-24,24.0,ACTIVE,,Required all public utilities owning transmission to provide open-access transmission services. Foundation for wholesale electricity competition and ISO/RTO formation.,"Enabled wholesale electricity markets, ISOs, and competitive power generation. Gas-fired generation became economically viable for merchant plants.",MIXED,HIGH,48.0,NATIONAL,ELECTRICITY,"UTILITIES,POWER_GENERATORS,TRANSMISSION_OWNERS",Led to formation of ISOs covering >60% of US load,FERC,https://www.ferc.gov/industries-data/electric/industry-activities/open-access-transmission-tariff-oatt-reform,,,1996.0,1996
FERC_CERT_POLICY_1999,FERC Certificate Policy Statement,Pipeline Certificate Policy,GAS_INFRASTRUCTURE,Pipeline Permitting,FEDERAL,FERC,1999-09-15,1999-09-15,0.0,UNDER_REVIEW,,Established framework for evaluating natural gas pipeline certificate applications. Balanced economic need against environmental and landowner impacts.,Provided predictable framework for pipeline approvals. Currently under review for potential updates regarding climate impacts.,NEUTRAL,MODERATE,24.0,NATIONAL,NATURAL_GAS,GAS_PIPELINES,FERC approved ~95% of pipeline applications 2000-2020,FERC,https://www.ferc.gov/industries-data/natural-gas/overview/certificate-applications,,,1999.0,1999
FERC_2000,FERC Order 2000,RTO Formation,ELECTRICITY_MARKET_STRUCTURE,Grid Organization,FEDERAL,FERC,1999-12-20,1999-12-20,60.0,ACTIVE,,Encouraged formation of Regional Transmission Organizations (RTOs) to operate transmission grids and administer wholesale markets.,"Created organized wholesale markets (PJM, MISO, SPP, CAISO, ERCOT, NYISO, ISO-NE). Enabled transparent price signals and efficient dispatch.",DECREASE,MODERATE,60.0,NATIONAL,ELECTRICITY,"UTILITIES,POWER_GENERATORS,TRANSMISSION_OWNERS",RTOs now serve ~2/3 of US electricity demand,FERC,https://www.ferc.gov/industries-data/electric/industry-activities/rtos-isos,,,1999.0,1999
EPAct_2005_FRAC,Energy Policy Act 2005 - Hydraulic Fracturing Exemption,Halliburton Loophole,OIL_GAS_PRODUCTION,Fracking Regulation,FEDERAL,EPA,2005-08-08,2005-08-08,0.0,ACTIVE,,Exempted hydraulic fracturing from Safe Drinking Water Act regulation. Removed regulatory barriers to shale gas development.,Enabled rapid scale-up of shale gas production. US gas production increased from 18 Tcf (2005) to 34 Tcf (2023). Transformed US from net importer to net exporter.,DECREASE,VERY_HIGH,36.0,NATIONAL,"NATURAL_GAS,OIL,ELECTRICITY","GAS_PRODUCERS,OIL_PRODUCERS,POWER_GENERATORS,PETROCHEMICAL",Henry Hub fell from $8-13/MMBtu (2005-2008) to $2-4/MMBtu (2012-2020),Congress,https://www.congress.gov/bill/109th-congress/house-bill/6,,,2005.0,2005
RGGI_2009,Regional Greenhouse Gas Initiative,RGGI,CARBON_MARKETS,Regional Carbon Price,REGIONAL,RGGI_INC,2009-01-01,2005-12-20,36.0,ACTIVE,,First mandatory cap-and-trade program for CO2 in US. Currently covers 11 Northeast and Mid-Atlantic states.,Carbon price adds $2-15/MWh to coal and gas generation costs. Accelerated coal retirements in region. Raised >$6B in allowance revenue.,INCREASE,MODERATE,12.0,"NORTHEAST,MID_ATLANTIC",ELECTRICITY,POWER_GENERATORS,Carbon price ~$13/ton (2024); regional emissions down 50% since 2005,RGGI Inc,https://www.rggi.org/,,NORTHEAST,2009.0,2005
DOE_LNG_FTA,DOE LNG Export Authorization - FTA Countries,LNG FTA Exports,LNG_EXPORTS,Export Authorization,FEDERAL,DOE,2010-01-01,2010-01-01,0.0,ACTIVE,,LNG exports to Free Trade Agreement countries deemed in public interest and approved without additional review.,"Enabled initial LNG export project approvals. FTA countries include most of Americas, Australia, Korea.",INCREASE,LOW,60.0,GULF_COAST,"NATURAL_GAS,LNG","LNG_EXPORTERS,GAS_PRODUCERS",Enabled ~25 Bcf/d of approved FTA export capacity,DOE,https://www.energy.gov/fecm/regulation-natural-gas-imports-and-exports,,,2010.0,2010
