effective_date,policy_id,short_name,category,market_impact_summary,status
1919-01-01,TX_RRC_RULES,TX Drilling Regs,OIL_GAS_PRODUCTION,"TX produces ~30% of US gas, ~40% of US oil. Fast permitting enables supply response.",ACTIVE
1938-06-21,NGA_SECTION_7,Pipeline Certificate,GAS_INFRASTRUCTURE,Controls pace of pipeline development. Provides eminent domain upon approval.,ACTIVE
1938-06-21,NGA_SECTION_3,LNG Export Authority,LNG_EXPORTS,Framework for US LNG exports. ~50 Bcf/d approved capacity.,ACTIVE
1970-01-01,NEPA_1970,NEPA,ENVIRONMENTAL_REVIEW,Creates multi-year permitting timeline. EIS can take 4-7 years for major pipelines.,ACTIVE
1985-10-09,FERC_436,Open Access,GAS_MARKET_STRUCTURE,Began transition from regulated wellhead prices to market-based pricing.,SUPERSEDED
1990-11-15,CAAA_1990,Acid Rain Program,ENVIRONMENTAL_EMISSIONS,Required scrubbers or fuel switching. Began shift to low-sulfur coal and gas.,ACTIVE
1992-11-01,FERC_636,Pipeline Restructuring,GAS_MARKET_STRUCTURE,Completed transition to competitive wholesale gas markets. Henry Hub emerged as pricing point.,ACTIVE
1996-04-24,FERC_888,Electric Open Access,ELECTRICITY_MARKET_STRUCTURE,Enabled wholesale electricity markets and competitive power generation.,ACTIVE
1999-09-15,FERC_CERT_POLICY_1999,Certificate Policy,GAS_INFRASTRUCTURE,Enabled ~95% approval rate 2000-2020. Currently under review for climate impacts.,UNDER_REVIEW
1999-12-20,FERC_2000,RTO Formation,ELECTRICITY_MARKET_STRUCTURE,"Created organized wholesale markets (PJM, MISO, SPP, CAISO, ERCOT, NYISO, ISO-NE).",ACTIVE
2005-08-08,EPACT_2005_FRAC,Halliburton Loophole,OIL_GAS_PRODUCTION,Enabled shale gas revolution. US production: 18 Tcf (2005) to 34 Tcf (2023). Transformed US to net exporter.,ACTIVE
2009-01-01,RGGI_2009,RGGI,CARBON_MARKETS,Carbon price $13-15/ton. Accelerated coal retirements. $6B+ revenue.,ACTIVE
2011-05-20,DOE_SABINE_PASS,First Non-FTA Export,LNG_EXPORTS,Opened global markets. First cargo Feb 2016. Transformed US from importer to exporter.,ACTIVE
2011-07-21,FERC_1000,Transmission Planning,ELECTRICITY_INFRASTRUCTURE,Improved regional transmission planning. Increased competition for transmission development.,ACTIVE
2012-01-01,CA_AB32,CA Cap-and-Trade,CARBON_MARKETS,Carbon price $30-35/ton. Eliminated in-state coal. Linked with Quebec.,ACTIVE
2012-02-14,PA_ACT_13,PA Marcellus Rules,OIL_GAS_PRODUCTION,Created framework for largest US shale play. PA: 1 Tcf (2010) to 7 Tcf (2023).,PARTIALLY_ACTIVE
